Time diff;Memory (KB);Thread id
37432404;7088;139881426757376
37282953;7172;139881426757376
35037546;7240;139881418364672
38552844;7240;139881443542784
36242848;7240;139881435150080
38104908;7240;139881426757376
40496422;7352;139881443542784
39600411;6340;139881443542784
41168623;6680;139881435150080
37380672;6860;139881435150080
38342159;7088;139881443542784
37469431;7172;139881418364672
35270941;7240;139881426757376
38937978;7240;139881443542784
36303508;7240;139881418364672
38633555;7240;139881426757376
40635267;7352;139881418364672
39680461;6340;139881418364672
41727146;6680;139881426757376
37398740;6860;139881418364672
38776432;7088;139881443542784
37482793;7172;139881435150080
35838600;7240;139881418364672
39147137;7240;139881418364672
37463406;7240;139881426757376
38859320;7240;139881443542784
40795724;7352;139881435150080
39932186;6340;139881443542784
41794264;6680;139881435150080
37503465;6860;139881426757376
39353451;7088;139881435150080
37919598;7172;139881443542784
36241806;7240;139881443542784
39294203;7240;139881443542784
37789279;7240;139881418364672
39248618;7240;139881443542784
40981112;7352;139881443542784
41444204;6340;139881435150080
41837634;6680;139881418364672
38326278;6860;139881435150080
39500878;7088;139881418364672
38466935;7172;139881435150080
36572299;7240;139881443542784
40482603;7240;139881426757376
37801282;7240;139881426757376
39271894;7240;139881418364672
42315455;7352;139881435150080
42084108;6340;139881426757376
42627721;6680;139881435150080
38653013;6860;139881435150080
39833966;7088;139881443542784
39465928;7172;139881418364672
37082885;7240;139881418364672
40709668;7240;139881418364672
38316272;7240;139881418364672
39900746;7240;139881443542784
42611265;7352;139881435150080
42494026;6340;139881435150080
43204538;6680;139881426757376
38656168;6860;139881443542784
40557460;7088;139881435150080
39817703;7172;139881418364672
37652854;7240;139881435150080
40852239;7240;139881443542784
38667474;7240;139881418364672
40378128;7240;139881443542784
43211170;7352;139881435150080
44095023;6340;139881426757376
43215681;6680;139881443542784
38962742;6860;139881435150080
41105737;7088;139881426757376
40803670;7172;139881435150080
37804227;7240;139881418364672
41047460;7240;139881435150080
38770415;7240;139881435150080
40748038;7240;139881443542784
43981322;7352;139881426757376
44420683;6340;139881443542784
43991522;6680;139881435150080
39503652;6860;139881418364672
41937200;7088;139881435150080
40824592;7172;139881443542784
37854777;7240;139881426757376
41134270;7240;139881426757376
38882400;7240;139881443542784
41527915;7240;139881443542784
44097526;7352;139881418364672
44612543;6340;139881426757376
44473944;6680;139881418364672
39729137;6860;139881426757376
41995974;7088;139881418364672
41139872;7172;139881443542784
38121450;7240;139881418364672
41296254;7240;139881418364672
38964207;7240;139881418364672
41538430;7240;139881426757376
44604359;7352;139881435150080
45068082;6528;139881426757376
44636350;6680;139881426757376
40210418;6860;139881435150080
42145051;7088;139881443542784
41846701;7172;139881426757376
38409299;7240;139881418364672
41770484;7240;139881426757376
